gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
980305022,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS245194008,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1995-04-19,19,4,1995,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS245194008,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:02.488Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980303633,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS245194000,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1995-04-09,9,4,1995,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS245194000,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:02.477Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980230022,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243985358,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1994-12-31,31,12,1994,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243985358,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:08:52.012Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980227210,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243989692,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1999-02-13,13,2,1999,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243989692,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.615Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980226086,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988286,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-03-30,30,3,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988286,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.441Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980225528,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988800,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-02-02,2,2,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988800,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:32:38.954Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980223468,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988176,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-02-08,8,2,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988176,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:09:50.219Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980222460,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988154,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-01-01,1,1,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988154,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.446Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980222222,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243987500,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1996-12-20,20,12,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243987500,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:32:45.395Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980221975,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243987474,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1996-12-14,14,12,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243987474,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.424Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
